event_type,event_coordsys,hpc_x,hpc_y,hgc_x,hgc_y,start_time,end_time,frm_name,obs_observatory,obs_instrument,kb_archivid,HER event summary
FL,UTC-HGS-TOPO,485.286,-237.8976,33.7625642,-20,2011-02-16T14:19:00,2011-02-16T14:29:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172658_20110216141900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172658_20110216141900
FL,UTC-HGS-TOPO,498.7404,-238.887,34.140732,-20,2011-02-16T15:27:00,2011-02-16T15:37:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172659_20110216152700,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172659_20110216152700
FL,UTC-HGS-TOPO,0,117.1212,-4.47406999999998,0,2011-02-17T01:41:00,2011-02-17T01:50:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172703_20110217014100,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172703_20110217014100
FL,UTC-HGS-TOPO,0,117.8634,-20.25795,0,2011-02-18T06:27:00,2011-02-18T06:39:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172715_20110218062700,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172715_20110218062700
FL,UTC-HGS-TOPO,0,117.8826,-20.67861,0,2011-02-18T07:13:00,2011-02-18T07:38:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172715_20110218071300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172715_20110218071300
FL,UTC-HGS-TOPO,0,117.9492,-22.16009,0,2011-02-18T09:55:00,2011-02-18T10:15:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172717_20110218095500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172717_20110218095500
FL,UTC-HGS-TOPO,0,117.9606,-22.41614,0,2011-02-18T10:23:00,2011-02-18T10:37:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172718_20110218102300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172718_20110218102300
FL,UTC-HGS-TOPO,0,118.0242,-23.84275,0,2011-02-18T12:59:00,2011-02-18T13:06:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172720_20110218125900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172720_20110218125900
FL,UTC-HGS-TOPO,0,118.0494,-24.40059,0,2011-02-18T14:00:00,2011-02-18T14:15:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172721_20110218140000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172721_20110218140000
FL,UTC-HGS-TOPO,0,118.0722,-24.92186,0,2011-02-18T14:57:00,2011-02-18T15:09:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172722_20110218145700,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172722_20110218145700
FL,UTC-HGS-TOPO,0,118.0932,-25.38825,0,2011-02-18T15:48:00,2011-02-18T15:59:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172723_20110218154800,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172723_20110218154800
FL,UTC-HGS-TOPO,0,118.1712,-27.16237,0,2011-02-18T19:02:00,2011-02-18T19:28:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172727_20110218190200,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172727_20110218190200
FL,UTC-HGS-TOPO,0,118.2168,-28.2049,0,2011-02-18T20:56:00,2011-02-18T21:14:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172728_20110218205600,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172728_20110218205600
FL,UTC-HGS-TOPO,176.7978,409.3824,-23.27721,18,2011-02-19T08:00:00,2011-02-19T08:12:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172733_20110219080000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172733_20110219080000
FL,UTC-HGS-TOPO,868.326,-295.4844,32.97648,-20,2011-02-19T16:39:00,2011-02-19T16:45:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172738_20110219163900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172738_20110219163900
FL,UTC-HGS-TOPO,0,119.5578,-61.78626,0,2011-02-21T10:08:00,2011-02-21T10:15:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172753_20110221100800,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172753_20110221100800
FL,UTC-HGS-TOPO,0,120.7782,-99.78728,0,2011-02-24T07:23:00,2011-02-24T07:42:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172804_20110224072300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172804_20110224072300
FL,UTC-HGS-TOPO,0,121.9932,-155.35384,0,2011-02-28T12:38:00,2011-02-28T13:03:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172901_20110228123800,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172901_20110228123800
FL,UTC-HGS-TOPO,-470.1804,486.3882,165.03549,24,2011-03-01T02:30:00,2011-03-01T04:40:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172907_20110301023000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172907_20110301023000
FL,UTC-HGS-TOPO,0,122.4522,164.26767,0,2011-03-03T14:12:00,2011-03-03T14:31:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172920_20110303141200,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172920_20110303141200
FL,UTC-HGS-TOPO,0,122.5602,126.76677,0,2011-03-06T10:31:00,2011-03-06T10:55:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172957_20110306103100,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172957_20110306103100
FL,UTC-HGS-TOPO,0,122.5596,125.98908,0,2011-03-06T11:56:00,2011-03-06T12:12:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_172959_20110306115600,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_172959_20110306115600
FL,UTC-HGS-TOPO,0,122.5584,125.1199,0,2011-03-06T13:31:00,2011-03-06T14:16:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173000_20110306133100,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173000_20110306133100
FL,UTC-HGS-TOPO,0,122.5572,124.47944,0,2011-03-06T14:41:00,2011-03-06T14:47:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173002_20110306144100,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173002_20110306144100
FL,UTC-HGS-TOPO,0,122.5554,123.52791,0,2011-03-06T16:25:00,2011-03-06T16:33:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173005_20110306162500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173005_20110306162500
FL,UTC-HGS-TOPO,869.802,-294.8424,-170.01396,-20,2011-03-07T04:20:00,2011-03-07T04:47:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173013_20110307042000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173013_20110307042000
FL,UTC-HGS-TOPO,0,122.5374,116.62006,0,2011-03-07T05:00:00,2011-03-07T05:19:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173014_20110307050000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173014_20110307050000
FL,UTC-HGS-TOPO,889.308,-304.4136,-166.92622,-20,2011-03-07T07:49:00,2011-03-07T07:56:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173017_20110307074900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173017_20110307074900
FL,UTC-HGS-TOPO,642.276,481.8228,161.98229,25,2011-03-07T07:59:00,2011-03-07T08:15:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173018_20110307075900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173018_20110307075900
FL,UTC-HGS-TOPO,683.202,447.8886,164.29607,23,2011-03-07T09:14:00,2011-03-07T09:28:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173019_20110307091400,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173019_20110307091400
FL,UTC-HGS-TOPO,0,122.5188,111.81651,0,2011-03-07T13:45:00,2011-03-07T14:56:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173022_20110307134500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173022_20110307134500
FL,UTC-HGS-TOPO,0,122.5128,110.53555,0,2011-03-07T16:05:00,2011-03-07T16:12:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173023_20110307160500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173023_20110307160500
FL,UTC-HGS-TOPO,0,122.5068,109.31863,0,2011-03-07T18:18:00,2011-03-07T18:41:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173024_20110307181800,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173024_20110307181800
FL,UTC-HGS-TOPO,0,122.5032,108.5409,0,2011-03-07T19:43:00,2011-03-07T20:58:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173026_20110307194300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173026_20110307194300
FL,UTC-HGS-TOPO,0,122.4972,107.42462,0,2011-03-07T21:45:00,2011-03-07T21:55:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173027_20110307214500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173027_20110307214500
FL,UTC-HGS-TOPO,903.006,-274.3632,-176.12819,-18,2011-03-08T02:24:00,2011-03-08T02:32:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173030_20110308022400,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173030_20110308022400
FL,UTC-HGS-TOPO,0,122.4786,104.20387,0,2011-03-08T03:37:00,2011-03-08T04:20:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173031_20110308033700,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173031_20110308033700
FL,UTC-HGS-TOPO,0,122.4738,103.40783,0,2011-03-08T05:04:00,2011-03-08T05:12:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173032_20110308050400,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173032_20110308050400
FL,UTC-HGS-TOPO,0,122.454,100.37919,0,2011-03-08T10:35:00,2011-03-08T10:55:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173034_20110308103500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173034_20110308103500
FL,UTC-HGS-TOPO,0,122.4234,96.2342,0,2011-03-08T18:08:00,2011-03-08T18:41:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173035_20110308180800,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173035_20110308180800
FL,UTC-HGS-TOPO,0,122.4168,95.337485,0,2011-03-08T19:46:00,2011-03-08T21:19:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173036_20110308194600,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173036_20110308194600
FL,UTC-HGS-TOPO,-33.44982,271.3956,91.470846,9,2011-03-08T23:10:00,2011-03-08T23:19:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173038_20110308231000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173038_20110308231000
FL,UTC-HGS-TOPO,0,122.3994,93.269541,0,2011-03-08T23:32:00,2011-03-08T23:40:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173039_20110308233200,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173039_20110308233200
FL,UTC-HGS-TOPO,0,122.3886,91.988507,0,2011-03-09T01:52:00,2011-03-09T02:07:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173040_20110309015200,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173040_20110309015200
FL,UTC-HGS-TOPO,0,122.3856,91.640797,0,2011-03-09T02:30:00,2011-03-09T02:36:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173042_20110309023000,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173042_20110309023000
FL,UTC-HGS-TOPO,67.1832,238.446,92.410734,7,2011-03-09T08:23:00,2011-03-09T09:06:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173043_20110309082300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173043_20110309082300
FL,UTC-HGS-TOPO,0,122.3448,87.202884,0,2011-03-09T10:35:00,2011-03-09T11:21:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173044_20110309103500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173044_20110309103500
FL,UTC-HGS-TOPO,100.1688,270.7092,91.720515,9,2011-03-09T13:17:00,2011-03-09T14:13:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173045_20110309131700,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173045_20110309131700
FL,UTC-HGS-TOPO,-339.0636,450.4338,59.456379,21,2011-03-09T21:03:00,2011-03-09T21:22:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173049_20110309210300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173049_20110309210300
FL,UTC-HGS-TOPO,67.0182,254.7246,84.907344,8,2011-03-09T22:03:00,2011-03-09T22:14:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173051_20110309220300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173051_20110309220300
FL,UTC-HGS-TOPO,0,122.2218,75.965988,0,2011-03-10T07:03:00,2011-03-10T07:15:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173054_20110310070300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173054_20110310070300
FL,UTC-HGS-TOPO,0,122.1108,67.446536,0,2011-03-10T22:34:00,2011-03-10T22:49:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173100_20110310223400,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173100_20110310223400
FL,UTC-HGS-TOPO,508.5972,236.2392,96.326032,8,2011-03-11T04:15:00,2011-03-11T04:39:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173104_20110311041500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173104_20110311041500
FL,UTC-HGS-TOPO,567.2886,181.8804,86.98345,5,2011-03-12T04:33:00,2011-03-12T04:48:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173114_20110312043300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173114_20110312043300
FL,UTC-HGS-TOPO,701.136,215.7762,93.407665,8,2011-03-12T12:53:00,2011-03-12T13:06:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173118_20110312125300,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173118_20110312125300
FL,UTC-HGS-TOPO,607.212,177.897,84.071522,5,2011-03-12T15:19:00,2011-03-12T15:34:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173118_20110312151900,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173118_20110312151900
FL,UTC-HGS-TOPO,0,121.5024,32.936135,0,2011-03-13T13:25:00,2011-03-13T13:40:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173126_20110313132500,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173126_20110313132500
FL,UTC-HGS-TOPO,0,121.4886,32.286337,0,2011-03-13T14:36:00,2011-03-13T14:44:00,SWPC,GOES,GOES,ivo://helio-informatics.org/FL_SECstandard_20110509_173127_20110313143600,https://www.lmsal.com/hek/her?cmd=view-voevent&ivorn=ivo%3A%2F%2Fhelio-informatics.org%2FFL_SECstandard_20110509_173127_20110313143600
